id_pedido;cliente;lat;lon;prioridad;peso;franja_inicio;franja_fin;observaciones
PED-001;Suministros Pérez;38.2712;-0.7023;Media;45;08:00;10:00;Llamar al llegar
PED-002;Taller Mecánico Elche;38.2891;-0.6812;Baja;120;09:00;11:00;Dejar en recepción
PED-003;Distribuciones García;38.3042;-0.6543;Alta;33;08:30;10:30;Urgente - confirmar entrega
PED-004;Almacenes Martínez;38.2634;-0.6987;Media;78;10:00;13:00;
PED-005;Ferretería La Industrial;38.2954;-0.7134;Baja;55;11:00;13:00;Entrada por calle trasera
PED-006;Transportes Vidal;38.3125;-0.6234;Media;92;09:30;12:30;
PED-007;Plásticos del Mediterráneo;38.2823;-0.6378;Baja;140;13:00;16:00;Dejar en almacén
PED-008;Muebles Artesanos Alicante;38.3312;-0.5223;Alta;25;08:00;11:00;Llamar al llegar
PED-009;Calzados Hernández;38.2756;-0.6723;Media;67;10:30;13:30;
PED-010;Textiles Ruiz;38.2645;-0.6534;Baja;88;14:00;16:00;Preguntar por Señor Ruiz
PED-011;Fontanería Torres;38.3087;-0.6489;Media;110;09:00;12:00;
PED-012;Electrónica Sánchez;38.2934;-0.6345;Baja;22;11:30;14:30;Frágil - manipular con cuidado
PED-013;Carpintería Molina;38.2512;-0.7189;Media;95;08:30;10:30;
PED-014;Papelería Gómez;38.3167;-0.5867;Alta;18;09:00;11:00;Entregar a Dña. Gómez
PED-015;Repuestos Automoción Norte;38.2889;-0.6134;Baja;134;12:00;15:00;
PED-016;Confecciones López;38.3045;-0.7098;Media;42;10:00;12:00;Dejar en recepción
PED-017;Imprenta Digital Elche;38.2678;-0.6712;Baja;76;13:30;16:30;
PED-018;Metalúrgica Jiménez;38.2891;-0.6323;Media;148;08:00;10:00;Acceso restringido - avisar
PED-019;Óptica Fernández;38.3234;-0.6056;Baja;12;11:00;13:00;
PED-020;Panadería Industrial Alicante;38.2867;-0.6256;Media;89;09:30;11:30;Entrega antes de las 11:30
PED-021;Pinturas Navarro;38.3112;-0.5912;Alta;63;08:00;10:00;Llamar al llegar
PED-022;Climatización Moreno;38.2734;-0.6589;Baja;107;14:00;17:00;
PED-023;Joyería Mayorista Costa;38.3256;-0.5634;Media;8;10:30;12:30;Requiere firma
PED-024;Laboratorio Análisis Díaz;38.2823;-0.6834;Baja;44;12:30;14:30;Temperatura controlada
PED-025;Agroquímicos Soler;38.2612;-0.7067;Media;132;09:00;11:00;
PED-026;Eventos y Catering Blanco;38.3089;-0.6189;Baja;56;15:00;17:00;Dejar en recepción
PED-027;Construcciones Ramos;38.2945;-0.6678;Alta;98;08:30;10:30;Materiales frágiles
PED-028;Reciclajes Castillo;38.2678;-0.6545;Baja;150;11:00;14:00;
PED-029;Farmacéutica Ibérica Ortega;38.3278;-0.5456;Media;29;09:00;12:00;Cadena de frío
PED-030;Consultoría TIC Alicante;38.3167;-0.5823;Baja;15;16:00;18:00;
